Period,Window,Horizon,Rank,Model,R2,MAE
2008_Financial_Crisis,30,1,1,ARIMA,0.9893,0.0035
2008_Financial_Crisis,30,1,2,Bi-GRU,0.9882,0.0038
2008_Financial_Crisis,30,1,3,ARIMA,0.9873,0.0189
2008_Financial_Crisis,30,1,4,Bi-RNN,0.9865,0.004
2008_Financial_Crisis,30,1,5,Bi-GRU,0.9838,0.0223
2008_Financial_Crisis,30,1,6,Bi-RNN,0.9806,0.024
2008_Financial_Crisis,30,1,7,Mamba,0.9784,0.0048
2008_Financial_Crisis,30,1,8,Bi-LSTM,0.974,0.0268
2008_Financial_Crisis,30,1,9,Ensemble,0.9708,0.0308
2008_Financial_Crisis,30,1,10,Bi-LSTM,0.9672,0.0065
2008_Financial_Crisis,30,1,11,Mamba,0.9628,0.0309
2008_Financial_Crisis,30,1,12,Ensemble,0.9004,0.0109
2008_Financial_Crisis,30,1,13,SNN,0.8664,0.0701
2008_Financial_Crisis,30,1,14,PatchTST,0.7389,0.1022
2008_Financial_Crisis,30,1,15,SNN,0.3882,0.0267
2008_Financial_Crisis,30,1,16,PatchTST,0.2177,0.0318
2008_Financial_Crisis,30,5,1,ARIMA,0.9669,0.0065
2008_Financial_Crisis,30,5,2,ARIMA,0.9537,0.0376
2008_Financial_Crisis,30,5,3,Bi-RNN,0.9468,0.0084
2008_Financial_Crisis,30,5,4,Bi-LSTM,0.9457,0.0079
2008_Financial_Crisis,30,5,5,Bi-GRU,0.943,0.0085
2008_Financial_Crisis,30,5,6,Bi-GRU,0.9349,0.0471
2008_Financial_Crisis,30,5,7,Ensemble,0.9269,0.0477
2008_Financial_Crisis,30,5,8,Bi-LSTM,0.9194,0.0498
2008_Financial_Crisis,30,5,9,Mamba,0.9189,0.0497
2008_Financial_Crisis,30,5,10,Ensemble,0.9135,0.0106
2008_Financial_Crisis,30,5,11,SNN,0.8991,0.011
2008_Financial_Crisis,30,5,12,Mamba,0.8932,0.0102
2008_Financial_Crisis,30,5,13,Bi-RNN,0.8891,0.0602
2008_Financial_Crisis,30,5,14,PatchTST,0.8779,0.0646
2008_Financial_Crisis,30,5,15,SNN,0.8638,0.0636
2008_Financial_Crisis,30,5,16,PatchTST,0.6089,0.0235
2008_Financial_Crisis,30,10,1,ARIMA,0.9382,0.0086
2008_Financial_Crisis,30,10,2,ARIMA,0.9197,0.0512
2008_Financial_Crisis,30,10,3,Bi-RNN,0.9192,0.0505
2008_Financial_Crisis,30,10,4,Bi-GRU,0.9128,0.0549
2008_Financial_Crisis,30,10,5,Bi-GRU,0.9068,0.0103
