Model,Period,Window,R2_H1,R2_H10,R2_Decay%
ARIMA,2008_Financial_Crisis,30,0.9893,0.9382,5.17
ARIMA,2008_Financial_Crisis,60,0.9901,0.9391,5.15
ARIMA,2008_Financial_Crisis,90,0.9906,0.9396,5.15
ARIMA,2008_Financial_Crisis,120,0.9904,0.9395,5.13
ARIMA,2008_Financial_Crisis,252,0.9907,0.9404,5.08
ARIMA,2010_Euro_Debt_Crisis,30,0.9736,0.8169,16.09
ARIMA,2010_Euro_Debt_Crisis,60,0.9743,0.8094,16.92
ARIMA,2010_Euro_Debt_Crisis,90,0.9745,0.8096,16.92
ARIMA,2010_Euro_Debt_Crisis,120,0.9747,0.8078,17.12
ARIMA,2010_Euro_Debt_Crisis,252,0.975,0.8122,16.7
ARIMA,2015_China_Crash,30,0.9047,0.1921,78.76
ARIMA,2015_China_Crash,60,0.9136,0.2913,68.11
ARIMA,2015_China_Crash,90,0.9136,0.3274,64.17
ARIMA,2015_China_Crash,120,0.9157,0.3515,61.62
ARIMA,2015_China_Crash,252,0.9174,0.345,62.39
ARIMA,2018_Trade_War,30,0.8986,0.2292,74.49
ARIMA,2018_Trade_War,60,0.9105,0.2421,73.41
ARIMA,2018_Trade_War,90,0.9094,0.231,74.59
ARIMA,2018_Trade_War,120,0.9102,0.2687,70.48
ARIMA,2018_Trade_War,252,0.9135,0.2791,69.44
ARIMA,2020_COVID_Crash,30,0.8811,0.1964,77.7
ARIMA,2020_COVID_Crash,60,0.8887,0.2542,71.4
ARIMA,2020_COVID_Crash,90,0.8886,0.2321,73.88
ARIMA,2020_COVID_Crash,120,0.8917,0.2253,74.73
ARIMA,2020_COVID_Crash,252,0.8978,0.2001,77.72
ARIMA,2022_Rate_Hike,30,0.947,0.5929,37.39
ARIMA,2022_Rate_Hike,60,0.949,0.5934,37.47
ARIMA,2022_Rate_Hike,90,0.9527,0.5926,37.79
ARIMA,2022_Rate_Hike,120,0.9532,0.5935,37.73
ARIMA,2022_Rate_Hike,252,0.954,0.598,37.32
ARIMA,2023_AI_Wave,30,0.9732,0.7387,24.09
ARIMA,2023_AI_Wave,60,0.9758,0.7363,24.54
ARIMA,2023_AI_Wave,90,0.9766,0.737,24.53
ARIMA,2023_AI_Wave,120,0.9764,0.747,23.49
ARIMA,2023_AI_Wave,252,0.977,0.7521,23.02
Bi-GRU,2008_Financial_Crisis,30,0.9882,0.9068,8.24
Bi-GRU,2008_Financial_Crisis,60,0.9859,0.8733,11.42
Bi-GRU,2008_Financial_Crisis,90,0.9873,0.9007,8.78
Bi-GRU,2008_Financial_Crisis,120,0.984,0.9028,8.25
Bi-GRU,2008_Financial_Crisis,252,0.9865,0.9,8.77
Bi-GRU,2010_Euro_Debt_Crisis,30,0.9702,0.8322,14.23
Bi-GRU,2010_Euro_Debt_Crisis,60,0.9673,0.8179,15.45
Bi-GRU,2010_Euro_Debt_Crisis,90,0.9727,0.8328,14.38
Bi-GRU,2010_Euro_Debt_Crisis,120,0.9448,0.8029,15.02
Bi-GRU,2010_Euro_Debt_Crisis,252,0.9643,-0.7144,174.09
