Flag,Severity,Model,Period,Window,Horizon,Value,Note
NEGATIVE_R2,CRITICAL,PatchTST,2008_Financial_Crisis,30,10,R2=-0.4109,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2008_Financial_Crisis,60,5,R2=-1.5284,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2008_Financial_Crisis,90,1,R2=-0.2849,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,SNN,2008_Financial_Crisis,90,1,R2=-0.8350,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2008_Financial_Crisis,90,5,R2=-0.3405,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2008_Financial_Crisis,120,5,R2=-1.2898,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,Bi-RNN,2008_Financial_Crisis,252,1,R2=-0.6575,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2008_Financial_Crisis,252,5,R2=-0.8694,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,Bi-RNN,2008_Financial_Crisis,252,10,R2=-0.6174,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2008_Financial_Crisis,252,10,R2=-0.1663,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2010_Euro_Debt_Crisis,30,1,R2=-0.0361,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2010_Euro_Debt_Crisis,30,5,R2=-1.6194,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2010_Euro_Debt_Crisis,30,10,R2=-0.6060,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2010_Euro_Debt_Crisis,60,1,R2=-0.9066,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2010_Euro_Debt_Crisis,60,5,R2=-0.5849,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2010_Euro_Debt_Crisis,60,10,R2=-0.5680,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2010_Euro_Debt_Crisis,90,5,R2=-3.7933,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,SNN,2010_Euro_Debt_Crisis,120,1,R2=-0.6001,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2010_Euro_Debt_Crisis,120,5,R2=-1.2627,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2010_Euro_Debt_Crisis,120,10,R2=-1.9761,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2010_Euro_Debt_Crisis,252,1,R2=-2.3158,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,SNN,2010_Euro_Debt_Crisis,252,1,R2=-1.2682,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,Bi-GRU,2010_Euro_Debt_Crisis,252,5,R2=-1.0793,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2010_Euro_Debt_Crisis,252,5,R2=-0.8613,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,SNN,2010_Euro_Debt_Crisis,252,5,R2=-0.1066,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,Bi-GRU,2010_Euro_Debt_Crisis,252,10,R2=-0.7144,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2010_Euro_Debt_Crisis,252,10,R2=-1.7327,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,SNN,2010_Euro_Debt_Crisis,252,10,R2=-0.3544,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2015_China_Crash,30,1,R2=-3.4323,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2015_China_Crash,30,5,R2=-8.1591,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2015_China_Crash,30,10,R2=-0.2522,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,Mamba,2015_China_Crash,30,10,R2=-0.0316,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,SNN,2015_China_Crash,30,10,R2=-0.0942,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2015_China_Crash,60,1,R2=-0.0637,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2015_China_Crash,60,5,R2=-3.3535,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2015_China_Crash,60,10,R2=-0.3680,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,SNN,2015_China_Crash,60,10,R2=-0.0123,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2015_China_Crash,90,5,R2=-0.9339,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2015_China_Crash,90,10,R2=-0.6847,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,SNN,2015_China_Crash,90,10,R2=-0.2905,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2015_China_Crash,120,1,R2=-2.9486,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,SNN,2015_China_Crash,120,1,R2=-0.6858,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2015_China_Crash,120,5,R2=-0.2301,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,SNN,2015_China_Crash,120,5,R2=-0.3506,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2015_China_Crash,120,10,R2=-2.3465,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,SNN,2015_China_Crash,120,10,R2=-0.1836,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2015_China_Crash,252,1,R2=-0.1279,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,SNN,2015_China_Crash,252,1,R2=-0.9929,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,SNN,2015_China_Crash,252,5,R2=-0.2916,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2015_China_Crash,252,10,R2=-0.3043,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2018_Trade_War,30,1,R2=-0.9635,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2018_Trade_War,30,5,R2=-0.4942,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,Bi-GRU,2018_Trade_War,30,10,R2=-0.1261,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2018_Trade_War,30,10,R2=-1.6935,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,SNN,2018_Trade_War,30,10,R2=-1.3186,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2018_Trade_War,60,1,R2=-0.3346,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2018_Trade_War,60,5,R2=-0.1008,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,SNN,2018_Trade_War,60,5,R2=-0.6944,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,Bi-GRU,2018_Trade_War,60,10,R2=-0.1784,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,Bi-LSTM,2018_Trade_War,60,10,R2=-0.2810,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2018_Trade_War,60,10,R2=-0.7302,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,SNN,2018_Trade_War,60,10,R2=-0.0551,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2018_Trade_War,90,1,R2=-1.0823,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,PatchTST,2018_Trade_War,90,5,R2=-1.0751,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,Bi-GRU,2018_Trade_War,90,10,R2=-0.1379,Model is WORSE than predicting the mean
NEGATIVE_R2,CRITICAL,Bi-LSTM,2018_Trade_War,90,10,R2=-5.8144,Model is WORSE than predicting the mean
