Model,Period,Window,Horizon,Model_R2,ARIMA_R2,Delta_R2,Beats_ARIMA
Bi-RNN,2008_Financial_Crisis,30,1,0.9865,0.9883,-0.0018,No
Bi-GRU,2008_Financial_Crisis,30,1,0.9882,0.9883,-0.0001,No
Bi-LSTM,2008_Financial_Crisis,30,1,0.9672,0.9883,-0.0211,No
PatchTST,2008_Financial_Crisis,30,1,0.2177,0.9883,-0.7706,No
Mamba,2008_Financial_Crisis,30,1,0.9784,0.9883,-0.0099,No
SNN,2008_Financial_Crisis,30,1,0.3882,0.9883,-0.6001,No
Bi-RNN,2008_Financial_Crisis,30,1,0.9806,0.9883,-0.0077,No
Bi-GRU,2008_Financial_Crisis,30,1,0.9838,0.9883,-0.0045,No
Bi-LSTM,2008_Financial_Crisis,30,1,0.974,0.9883,-0.0143,No
PatchTST,2008_Financial_Crisis,30,1,0.7389,0.9883,-0.2494,No
Mamba,2008_Financial_Crisis,30,1,0.9628,0.9883,-0.0255,No
SNN,2008_Financial_Crisis,30,1,0.8664,0.9883,-0.1219,No
Bi-RNN,2008_Financial_Crisis,30,5,0.9468,0.9603,-0.0135,No
Bi-GRU,2008_Financial_Crisis,30,5,0.943,0.9603,-0.0174,No
Bi-LSTM,2008_Financial_Crisis,30,5,0.9457,0.9603,-0.0146,No
PatchTST,2008_Financial_Crisis,30,5,0.6089,0.9603,-0.3514,No
Mamba,2008_Financial_Crisis,30,5,0.8932,0.9603,-0.0671,No
SNN,2008_Financial_Crisis,30,5,0.8991,0.9603,-0.0612,No
Bi-RNN,2008_Financial_Crisis,30,5,0.8891,0.9603,-0.0713,No
Bi-GRU,2008_Financial_Crisis,30,5,0.9349,0.9603,-0.0254,No
Bi-LSTM,2008_Financial_Crisis,30,5,0.9194,0.9603,-0.041,No
PatchTST,2008_Financial_Crisis,30,5,0.8779,0.9603,-0.0824,No
Mamba,2008_Financial_Crisis,30,5,0.9189,0.9603,-0.0414,No
SNN,2008_Financial_Crisis,30,5,0.8638,0.9603,-0.0965,No
Bi-RNN,2008_Financial_Crisis,30,10,0.8656,0.9289,-0.0633,No
Bi-GRU,2008_Financial_Crisis,30,10,0.9068,0.9289,-0.0222,No
Bi-LSTM,2008_Financial_Crisis,30,10,0.9025,0.9289,-0.0264,No
PatchTST,2008_Financial_Crisis,30,10,-0.4109,0.9289,-1.3399,No
Mamba,2008_Financial_Crisis,30,10,0.8859,0.9289,-0.043,No
