Market,Window,Horizon,Model,Period,MAE,R2,RMSE,N_samples,Seed
SP500,30,1,ARIMA,2008_Financial_Crisis,0.0035136051257233,0.989323789186911,0.0048753616076801,378,2620
SP500,30,1,Bi-RNN,2008_Financial_Crisis,0.0039752991870045,0.9865354895591736,0.0054751230721579,378,2620
SP500,30,1,Bi-GRU,2008_Financial_Crisis,0.0037784602027386,0.9881765842437744,0.005130618032942,378,2620
SP500,30,1,Bi-LSTM,2008_Financial_Crisis,0.0065186098217964,0.9671506881713868,0.0085518795876045,378,2620
SP500,30,1,PatchTST,2008_Financial_Crisis,0.0317581333220005,0.2177469134330749,0.0417322594645772,378,2620
SP500,30,1,Mamba,2008_Financial_Crisis,0.0048248460516333,0.9784493446350098,0.0069267366016172,378,2620
SP500,30,1,SNN,2008_Financial_Crisis,0.0266557186841964,0.3882423043251037,0.0369052354158776,378,2620
SP500,30,1,Ensemble,2008_Financial_Crisis,0.0109249548986554,0.9003946185112,0.0148915433133297,378,2620
SP500,30,5,ARIMA,2008_Financial_Crisis,0.006500102587108,0.9669259317181556,0.0085810823932847,378,2620
SP500,30,5,Bi-RNN,2008_Financial_Crisis,0.0083782523870468,0.9468382596969604,0.0108307427974358,374,2620
SP500,30,5,Bi-GRU,2008_Financial_Crisis,0.0084799695760011,0.9429683089256288,0.0112180342978088,374,2620
SP500,30,5,Bi-LSTM,2008_Financial_Crisis,0.0079436935484409,0.9456818699836732,0.0109479060121847,374,2620
SP500,30,5,PatchTST,2008_Financial_Crisis,0.0234992206096649,0.6089109182357788,0.0293762532385989,374,2620
SP500,30,5,Mamba,2008_Financial_Crisis,0.0102110197767615,0.8932358026504517,0.0153486936340406,374,2620
SP500,30,5,SNN,2008_Financial_Crisis,0.0109766535460948,0.899121105670929,0.0149196540826838,374,2620
SP500,30,5,Ensemble,2008_Financial_Crisis,0.010573805309832,0.9135112762451172,0.0138145978942071,374,2620
SP500,30,10,ARIMA,2008_Financial_Crisis,0.0086268025632553,0.9381843351337222,0.011731337655696,378,2620
