Market,Window,Horizon,Model,Period,MAE,R2,RMSE,N_samples
SP500,30,1,ARIMA,2008_Financial_Crisis,0.0035136051257233436,0.989323789186911,0.004875361607680103,378
SP500,30,1,Bi-RNN,2008_Financial_Crisis,0.003975299187004566,0.9865354895591736,0.0054751230721579915,378
SP500,30,1,Bi-GRU,2008_Financial_Crisis,0.0037784602027386427,0.9881765842437744,0.005130618032942069,378
SP500,30,1,Bi-LSTM,2008_Financial_Crisis,0.006518609821796417,0.9671506881713867,0.008551879587604574,378
SP500,30,1,PatchTST,2008_Financial_Crisis,0.031758133322000504,0.21774691343307495,0.04173225946457722,378
SP500,30,1,Mamba,2008_Financial_Crisis,0.004824846051633358,0.9784493446350098,0.00692673660161729,378
SP500,30,1,SNN,2008_Financial_Crisis,0.026655718684196472,0.38824230432510376,0.03690523541587766,378
SP500,30,1,Ensemble,2008_Financial_Crisis,0.010924954898655415,0.9003946185112,0.014891543313329711,378
SP500,30,5,ARIMA,2008_Financial_Crisis,0.006500102587108071,0.9669259317181556,0.00858108239328475,378
SP500,30,5,Bi-RNN,2008_Financial_Crisis,0.008378252387046814,0.9468382596969604,0.010830742797435875,374
SP500,30,5,Bi-GRU,2008_Financial_Crisis,0.008479969576001167,0.9429683089256287,0.011218034297808864,374
SP500,30,5,Bi-LSTM,2008_Financial_Crisis,0.007943693548440933,0.9456818699836731,0.010947906012184722,374
SP500,30,5,PatchTST,2008_Financial_Crisis,0.023499220609664917,0.6089109182357788,0.029376253238598934,374
SP500,30,5,Mamba,2008_Financial_Crisis,0.010211019776761532,0.8932358026504517,0.015348693634040605,374
SP500,30,5,SNN,2008_Financial_Crisis,0.010976653546094894,0.899121105670929,0.014919654082683888,374
SP500,30,5,Ensemble,2008_Financial_Crisis,0.010573805309832096,0.9135112762451172,0.013814597894207194,374
SP500,30,10,ARIMA,2008_Financial_Crisis,0.008626802563255324,0.9381843351337222,0.011731337655696002,378
SP500,30,10,Bi-RNN,2008_Financial_Crisis,0.013341503217816353,0.8656343221664429,0.017095457585494626,369
SP500,30,10,Bi-GRU,2008_Financial_Crisis,0.010293180122971535,0.9067640900611877,0.014240596490448575,369
SP500,30,10,Bi-LSTM,2008_Financial_Crisis,0.011020557023584843,0.9025328159332275,0.014560148784886838,369
