Window,Horizon,Matched_Period,Strategy,Models,Ensemble_MAE,Ensemble_R2,Ensemble_RMSE
30,1,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-GRU+Bi-RNN+Bi-LSTM,0.007083228789269924,0.9146242737770081,0.008215841303056868
30,5,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-RNN+Bi-LSTM+Bi-GRU,0.010407545603811741,0.8025223016738892,0.011824283530796956
30,10,2010_Euro_Debt_Crisis,heuristic,Bi-RNN+Mamba+Bi-GRU,0.011702856048941612,0.7372612953186035,0.012975347189932913
60,1,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-GRU+Bi-RNN+Bi-LSTM,0.006789268460124731,0.9211280941963196,0.00789670805486911
60,5,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-RNN+Bi-LSTM+Bi-GRU,0.010961314663290977,0.7790204286575317,0.01250811544834914
60,10,2010_Euro_Debt_Crisis,heuristic,Bi-RNN+Mamba+Bi-GRU,0.014155150391161442,0.6195029020309448,0.015614664954997536
90,1,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-GRU+Bi-RNN+Bi-LSTM,0.0065818848088383675,0.9282661080360413,0.007530903470486043
90,5,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-RNN+Bi-LSTM+Bi-GRU,0.011724702082574368,0.749882698059082,0.01330722900251918
90,10,2010_Euro_Debt_Crisis,heuristic,Bi-RNN+Mamba+Bi-GRU,0.013939190655946732,0.6222513318061829,0.015558168322922847
120,1,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-GRU+Bi-RNN+Bi-LSTM,0.005446248687803745,0.9472261071205139,0.006459434043841105
120,5,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-RNN+Bi-LSTM+Bi-GRU,0.010346118360757828,0.8048394918441772,0.011754705978702542
120,10,2010_Euro_Debt_Crisis,heuristic,Bi-RNN+Mamba+Bi-GRU,0.01255214586853981,0.7010349035263062,0.013840991785215535
252,1,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-GRU+Bi-RNN+Bi-LSTM,0.008092636242508888,0.8891831636428833,0.00936025701108428
252,5,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-RNN+Bi-LSTM+Bi-GRU,0.011377450078725815,0.7698287963867188,0.012765602126934181
252,10,2010_Euro_Debt_Crisis,heuristic,Bi-RNN+Mamba+Bi-GRU,0.018636925145983696,0.3262745141983032,0.02077774800823344
